OBJECTID,SHAPE_Length,Panjang
32,2512.651959214159433,2512.651959214159433
33,18110.100615171581012,18110.100615171581012
34,17507.362822087296081,17507.362822087296081
35,32789.289150183270976,32789.289150183270976
36,14793.186133542589232,14793.186133542589232
37,36472.749661591653421,36472.749661591653421
38,36899.755996453393891,36899.755996453393891
39,9036.247384327049076,9036.247384327049076
40,13213.928904214906652,13213.928904214906652
41,1288.820372298315533,1288.820372298315533
42,9126.577136797135609,9126.577136797135609
43,8346.483942820570519,8346.483942820570519
44,45719.905398362840060,45719.905398362840060
45,14917.718367378016410,14917.718367378016410
46,17603.778660622156167,17603.778660622156167
47,25238.097962028470647,25238.097962028470647
48,13603.450459025576492,13603.450459025576492
49,21764.526987673310941,21764.526987673310941
50,35245.315080914595455,35245.315080914595455
51,7549.334926772489780,7549.334926772489780
52,43703.228034370222304,43703.228034370222304
53,43871.894368041736016,43871.894368041736016
54,28818.794846332850284,28818.794846332850284
55,10617.125596818772465,10617.125596818772465
56,5503.213432522979929,5503.213432522979929
57,28084.287720106996858,28084.287720106996858
58,6580.731467032305773,6580.731467032305773
60,3894.389327697887893,3894.389327697887893
61,10426.217776461266112,10426.217776461266112
62,13211.244327397022062,13211.244327397022062
63,26558.020562581121339,26558.020562581121339
64,21372.934176867329370,21372.934176867329370
65,9390.200020113219580,9390.200020113219580
66,2853.705594661075793,2853.705594661075793
67,475.554879752728652,475.554879752728652
68,14800.516642778848109,14800.516642778848109
69,11501.483344248626963,11501.483344248626963
70,16175.283164083779411,16175.283164083779411
71,20667.586643269794877,20667.586643269794877
72,8037.436598116904861,8037.436598116904861
73,2278.416026988548310,2278.416026988548310
74,7842.603111383570649,7842.603111383570649
75,3328.785218483164044,3328.785218483164044
78,322.277073090846216,322.277073090846216
79,3755.836457101290762,3755.836457101290762
80,906.807478377822576,906.807478377822576
84,8853.543826661896674,8853.543826661896674
85,16027.116053264437141,16027.116053264437141
86,11022.563217950033504,11022.563217950033504
87,5912.390719983724921,5912.390719983724921
88,8981.241063762079648,8981.241063762079648
89,578.248880347295653,578.248880347295653
90,2525.123026116928486,2525.123026116928486
